0,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6134_518_processed.las,1.0,1.611007097135353e-05,2296700,10077,2296663,0,{'nb_neighbors': 13, 'path': '/home/nxw500/data/', 'std_ratio': 37, 'voxel_size': 0.6}
1,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6146_468_processed.las,1.0,1.6818499416815236e-05,6005292,79250,6005191,0,{'nb_neighbors': 13, 'path': '/home/nxw500/data/', 'std_ratio': 37, 'voxel_size': 0.6}
2,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6161_465_processed.las,1.0,6.8860722303165645e-06,6970592,6723,6970544,0,{'nb_neighbors': 13, 'path': '/home/nxw500/data/', 'std_ratio': 37, 'voxel_size': 0.6}
3,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6162_472_processed.las,1.0,9.724551404277637e-05,7383374,67601,7382656,0,{'nb_neighbors': 13, 'path': '/home/nxw500/data/', 'std_ratio': 37, 'voxel_size': 0.6}
4,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6163_472_processed.las,1.0,5.70437528250034e-05,11254519,59940,11253877,0,{'nb_neighbors': 13, 'path': '/home/nxw500/data/', 'std_ratio': 37, 'voxel_size': 0.6}
5,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6167_473_processed.las,1.0,7.698880219941806e-05,10196288,55417,10195503,0,{'nb_neighbors': 13, 'path': '/home/nxw500/data/', 'std_ratio': 37, 'voxel_size': 0.6}
6,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6167_474_processed.las,1.0,5.850854753175483e-05,15519100,15374,15518192,0,{'nb_neighbors': 13, 'path': '/home/nxw500/data/', 'std_ratio': 37, 'voxel_size': 0.6}
7,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6167_475_processed.las,1.0,5.866179404090399e-05,14336418,23505,14335577,0,{'nb_neighbors': 13, 'path': '/home/nxw500/data/', 'std_ratio': 37, 'voxel_size': 0.6}
8,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6168_458_processed.las,1.0,3.126760353666658e-05,2014865,15314,2014802,0,{'nb_neighbors': 13, 'path': '/home/nxw500/data/', 'std_ratio': 37, 'voxel_size': 0.6}
9,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6204_505_processed.las,1.0,2.4555476165533108e-05,12909544,10130,12909227,0,{'nb_neighbors': 13, 'path': '/home/nxw500/data/', 'std_ratio': 37, 'voxel_size': 0.6}
10,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6205_513_processed.las,0.9999687089304713,2.4850178366953024e-05,10824872,63916,10824603,2,{'nb_neighbors': 13, 'path': '/home/nxw500/data/', 'std_ratio': 37, 'voxel_size': 0.6}
11,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6211_474_processed.las,1.0,2.015506755703722e-05,5060762,31390,5060660,0,{'nb_neighbors': 13, 'path': '/home/nxw500/data/', 'std_ratio': 37, 'voxel_size': 0.6}
12,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6219_494_processed.las,1.0,6.880470230996583e-05,4374701,18363,4374400,0,{'nb_neighbors': 13, 'path': '/home/nxw500/data/', 'std_ratio': 37, 'voxel_size': 0.6}
13,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6220_495_processed.las,1.0,5.420917594789465e-05,3302024,16908,3301845,0,{'nb_neighbors': 13, 'path': '/home/nxw500/data/', 'std_ratio': 37, 'voxel_size': 0.6}
14,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6221_452_processed.las,1.0,3.320209283863562e-05,361423,8753,361411,0,{'nb_neighbors': 13, 'path': '/home/nxw500/data/', 'std_ratio': 37, 'voxel_size': 0.6}
0,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6134_518_processed.las,1.0,1.4803849000766256e-05,2296700,10077,2296666,0,{'nb_neighbors': 9, 'path': '/home/nxw500/data/', 'std_ratio': 47, 'voxel_size': 0.6}
1,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6146_468_processed.las,1.0,1.6651979620641022e-05,6005292,79250,6005192,0,{'nb_neighbors': 9, 'path': '/home/nxw500/data/', 'std_ratio': 47, 'voxel_size': 0.6}
2,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6161_465_processed.las,1.0,6.8860722303165645e-06,6970592,6723,6970544,0,{'nb_neighbors': 9, 'path': '/home/nxw500/data/', 'std_ratio': 47, 'voxel_size': 0.6}
3,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6162_472_processed.las,1.0,9.724551404277637e-05,7383374,67601,7382656,0,{'nb_neighbors': 9, 'path': '/home/nxw500/data/', 'std_ratio': 47, 'voxel_size': 0.6}
4,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6163_472_processed.las,1.0,5.70437528250034e-05,11254519,59940,11253877,0,{'nb_neighbors': 9, 'path': '/home/nxw500/data/', 'std_ratio': 47, 'voxel_size': 0.6}
5,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6167_473_processed.las,1.0,7.512537896148253e-05,10196288,55417,10195522,0,{'nb_neighbors': 9, 'path': '/home/nxw500/data/', 'std_ratio': 47, 'voxel_size': 0.6}
6,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6167_474_processed.las,1.0,5.741312318363612e-05,15519100,15374,15518209,0,{'nb_neighbors': 9, 'path': '/home/nxw500/data/', 'std_ratio': 47, 'voxel_size': 0.6}
7,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6167_475_processed.las,1.0,5.573219196031154e-05,14336418,23505,14335619,0,{'nb_neighbors': 9, 'path': '/home/nxw500/data/', 'std_ratio': 47, 'voxel_size': 0.6}
8,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6168_458_processed.las,1.0,3.027498120222738e-05,2014865,15314,2014804,0,{'nb_neighbors': 9, 'path': '/home/nxw500/data/', 'std_ratio': 47, 'voxel_size': 0.6}
9,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6204_505_processed.las,1.0,2.440055202568292e-05,12909544,10130,12909229,0,{'nb_neighbors': 9, 'path': '/home/nxw500/data/', 'std_ratio': 47, 'voxel_size': 0.6}
10,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6205_513_processed.las,0.9999687089304713,2.4757798521735097e-05,10824872,63916,10824604,2,{'nb_neighbors': 9, 'path': '/home/nxw500/data/', 'std_ratio': 47, 'voxel_size': 0.6}
11,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6211_474_processed.las,1.0,1.956227145238909e-05,5060762,31390,5060663,0,{'nb_neighbors': 9, 'path': '/home/nxw500/data/', 'std_ratio': 47, 'voxel_size': 0.6}
12,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6219_494_processed.las,1.0,6.880470230996583e-05,4374701,18363,4374400,0,{'nb_neighbors': 9, 'path': '/home/nxw500/data/', 'std_ratio': 47, 'voxel_size': 0.6}
13,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6220_495_processed.las,1.0,5.118073036414206e-05,3302024,16908,3301855,0,{'nb_neighbors': 9, 'path': '/home/nxw500/data/', 'std_ratio': 47, 'voxel_size': 0.6}
14,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6221_452_processed.las,1.0,3.320209283863562e-05,361423,8753,361411,0,{'nb_neighbors': 9, 'path': '/home/nxw500/data/', 'std_ratio': 47, 'voxel_size': 0.6}
0,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6134_518_processed.las,1.0,1.6980885618522734e-05,2296700,10077,2296661,0,{'nb_neighbors': 13, 'path': '/home/nxw500/data/', 'std_ratio': 27, 'voxel_size': 0.3}
1,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6146_468_processed.las,0.99998738170347,2.3146251672656604e-05,6005292,79250,6005153,1,{'nb_neighbors': 13, 'path': '/home/nxw500/data/', 'std_ratio': 27, 'voxel_size': 0.3}
2,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6161_465_processed.las,1.0,7.890291097267799e-06,6970592,6723,6970537,0,{'nb_neighbors': 13, 'path': '/home/nxw500/data/', 'std_ratio': 27, 'voxel_size': 0.3}
3,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6162_472_processed.las,1.0,9.738095347733289e-05,7383374,67601,7382655,0,{'nb_neighbors': 13, 'path': '/home/nxw500/data/', 'std_ratio': 27, 'voxel_size': 0.3}
4,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6163_472_processed.las,0.9999833166499833,5.739916561520175e-05,11254519,59940,11253873,1,{'nb_neighbors': 13, 'path': '/home/nxw500/data/', 'std_ratio': 27, 'voxel_size': 0.3}
5,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6167_473_processed.las,0.9999819549957594,8.48347947801642e-05,10196288,55417,10195423,1,{'nb_neighbors': 13, 'path': '/home/nxw500/data/', 'std_ratio': 27, 'voxel_size': 0.3}
